tmin	tier	text	tmax
0	silences	silent	2.60
2.60	silences	sounding	2.75
2.75	silences	silent	3.06
3.06	silences	sounding	3.42
3.42	silences	silent	3.71
3.71	silences	sounding	4.09
4.09	silences	silent	4.79
4.79	silences	sounding	11.47
11.47	silences	silent	12.36
12.36	silences	sounding	13.95
13.95	silences	silent	17.25
17.25	silences	sounding	18.14
18.14	silences	silent	18.32
18.32	silences	sounding	19.77
19.77	silences	silent	20.33
20.33	silences	sounding	25.85
25.85	silences	silent	27.24
27.24	silences	sounding	29.39
29.39	silences	silent	30.27
30.27	silences	sounding	32.02
32.02	silences	silent	33.99
33.99	silences	sounding	36.75
36.75	silences	silent	37.62
37.62	silences	sounding	39.43
39.43	silences	silent	39.67
39.67	silences	sounding	40.47
40.47	silences	silent	42.37
42.37	silences	sounding	43.80
43.80	silences	silent	44.59
44.59	silences	sounding	45.65
45.65	silences	silent	45.80
45.80	silences	sounding	47.33
47.33	silences	silent	49.05
49.05	silences	sounding	50.45
50.45	silences	silent	51.17
51.17	silences	sounding	52.86
52.86	silences	silent	53.24
53.24	silences	sounding	53.91
53.91	silences	silent	54.31
54.31	silences	sounding	55.25
55.25	silences	silent	55.78
55.78	silences	sounding	56.26
56.26	silences	silent	57.00
57.00	silences	sounding	58.57
58.57	silences	silent	60.08
60.08	silences	sounding	61.82
61.82	silences	silent	62.00
62.00	silences	sounding	62.43
62.43	silences	silent	63.23
63.23	silences	sounding	65.14
65.14	silences	silent	65.63
65.63	silences	sounding	67.87
67.87	silences	silent	68.13
68.13	silences	sounding	68.47
68.47	silences	silent	69.22
69.22	silences	sounding	69.78
69.78	silences	silent	70.53
70.53	silences	sounding	82.13
82.13	silences	silent	83.19
83.19	silences	sounding	85.54
85.54	silences	silent	86.12
86.12	silences	sounding	86.83
86.83	silences	silent	87.82
87.82	silences	sounding	96.30
96.30	silences	silent	97.50
97.50	silences	sounding	98.16
98.16	silences	silent	98.44
98.44	silences	sounding	99.14
99.14	silences	silent	99.57
99.57	silences	sounding	100.42
100.42	silences	silent	100.56
100.56	silences	sounding	101.09
101.09	silences	silent	101.38
101.38	silences	sounding	101.74
101.74	silences	silent	102.74
102.74	silences	sounding	104.72
104.72	silences	silent	105.68
105.68	silences	sounding	106.98
106.98	silences	silent	107.26
107.26	silences	sounding	109.17
109.17	silences	silent	109.56
109.56	silences	sounding	110.74
110.74	silences	silent	112.17
112.17	silences	sounding	114.49
114.49	silences	silent	115.17
115.17	silences	sounding	116.56
116.56	silences	silent	117.50
117.50	silences	sounding	118.63
118.63	silences	silent	119.05
119.05	silences	sounding	121.36
121.36	silences	silent	122.41
122.41	silences	sounding	122.53
122.53	silences	silent	123.54
123.54	silences	sounding	125.55
125.55	silences	silent	127.42
127.42	silences	sounding	128.22
128.22	silences	silent	128.44
128.44	silences	sounding	129.63
129.63	silences	silent	130.47
130.47	silences	sounding	132.99
132.99	silences	silent	133.50
133.50	silences	sounding	134.86
134.86	silences	silent	134.97
134.97	silences	sounding	135.23
135.23	silences	silent	135.42
135.42	silences	sounding	136.91
136.91	silences	silent	138.16
138.16	silences	sounding	139.49
139.49	silences	silent	139.79
139.79	silences	sounding	140.15
140.15	silences	silent	140.82
140.82	silences	sounding	141.32
141.32	silences	silent	141.61
141.61	silences	sounding	142.38
142.38	silences	silent	142.62
142.62	silences	sounding	143.54
143.54	silences	silent	144.10
144.10	silences	sounding	145.84
145.84	silences	silent	146.43
146.43	silences	sounding	158.09
158.09	silences	silent	158.33
158.33	silences	sounding	159.46
159.46	silences	silent	159.77
159.77	silences	sounding	160.34
160.34	silences	silent	160.46
160.46	silences	sounding	160.79
160.79	silences	silent	161.40
161.40	silences	sounding	167.19
167.19	silences	silent	167.54
167.54	silences	sounding	168.52
168.52	silences	silent	168.62
168.62	silences	sounding	169.51
169.51	silences	silent	169.72
169.72	silences	sounding	170.11
170.11	silences	silent	170.33
170.33	silences	sounding	170.92
170.92	silences	silent	171.34
171.34	silences	sounding	172.36
172.36	silences	silent	173.63
173.63	silences	sounding	174.37
174.37	silences	silent	174.75
174.75	silences	sounding	175.80
175.80	silences	silent	176.62
176.62	silences	sounding	178.85
178.85	silences	silent	179.72
179.72	silences	sounding	180.38
180.38	silences	silent	180.55
180.55	silences	sounding	183.70
183.70	silences	silent	185.01
185.01	silences	sounding	186.36
186.36	silences	silent	186.71
186.71	silences	sounding	189.72
189.72	silences	silent	190.50
190.50	silences	sounding	195.12
195.12	silences	silent	195.43
195.43	silences	sounding	196.91
196.91	silences	silent	197.71
197.71	silences	sounding	207.07
207.07	silences	silent	207.32
207.32	silences	sounding	208.57
208.57	silences	silent	210.21
210.21	silences	sounding	215.02
215.02	silences	silent	215.42
215.42	silences	sounding	215.56
215.56	silences	silent	215.66
215.66	silences	sounding	217.29
217.29	silences	silent	217.49
217.49	silences	sounding	217.90
217.90	silences	silent	219.08
219.08	silences	sounding	220.86
220.86	silences	silent	220.97
220.97	silences	sounding	222.31
222.31	silences	silent	223.86
223.86	silences	sounding	225.54
225.54	silences	silent	226.48
226.48	silences	sounding	228.23
228.23	silences	silent	228.74
228.74	silences	sounding	235.83
235.83	silences	silent	235.97
235.97	silences	sounding	236.53
236.53	silences	silent	236.67
236.67	silences	sounding	238.11
238.11	silences	silent	238.42
238.42	silences	sounding	239.27
239.27	silences	silent	239.42
239.42	silences	sounding	241.36
241.36	silences	silent	241.72
241.72	silences	sounding	250.42
250.42	silences	silent	251.47
251.47	silences	sounding	253.26
253.26	silences	silent	254.26
254.26	silences	sounding	256.89
256.89	silences	silent	258.33
258.33	silences	sounding	261.91
261.91	silences	silent	263.25
263.25	silences	sounding	265.64
265.64	silences	silent	266.84
266.84	silences	sounding	267.73
267.73	silences	silent	269.11
269.11	silences	sounding	271.63
271.63	silences	silent	271.88
